,0,1,2,3,4,5
50,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,66189.0,SEATTLE WA,04/08/2015,07/01/2015
51,FRED HUTCHINSON CANCER RESEARCH CENTER,SCIENTIST,72100.0,SEATTLE WA,02/04/2015,03/01/2015
52,FRED HUTCHINSON CANCER RESEARCH CENTER,SR. SOFTWARE DEVELOPER .NET DEVELOPER LEAD,114989.0,SEATTLE WA,11/13/2015,05/11/2016
53,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,79981.0,SEATTLE WA,02/25/2015,05/12/2015
54,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,85000.0,SEATTLE WA,01/29/2015,03/01/2015
55,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,90000.0,SEATTLE WA,08/13/2015,09/15/2015
56,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,98000.0,SEATTLE WA,01/23/2015,04/05/2015
57,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,120000.0,SEATTLE WA,11/02/2015,11/16/2015
58,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,120000.0,SEATTLE WA,11/02/2015,11/16/2015
59,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,67000.0,SEATTLE WA,01/21/2015,03/01/2015
60,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,68327.0,SEATTLE WA,01/30/2015,03/15/2015
61,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,69000.0,SEATTLE WA,04/08/2015,08/01/2015
62,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,69000.0,SEATTLE WA,10/21/2015,01/15/2016
63,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,71000.0,SEATTLE WA,09/03/2015,10/01/2015
64,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,71000.0,SEATTLE WA,09/03/2015,11/01/2015
65,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,72047.0,SEATTLE WA,05/14/2015,09/04/2015
66,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,80925.0,SEATTLE WA,02/11/2015,04/07/2015
67,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,85164.0,SEATTLE WA,09/18/2015,01/11/2016
68,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE III,86119.0,SEATTLE WA,02/17/2015,06/01/2015
69,FRED HUTCHINSON CANCER RESEARCH CENTER,SYSTEMS ANALYST PROGRAMMER,62000.0,SEATTLE WA,08/12/2015,11/01/2015
0,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,114480.0,SEATTLE WA,02/02/2016,04/01/2016
1,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,130000.0,ROCKVILLE MD,04/18/2016,06/01/2016
2,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,130000.0,SEATTLE WA,07/14/2016,08/15/2016
3,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,160000.0,SEATTLE WA,08/01/2016,10/01/2016
4,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,160000.0,SEATTLE WA,08/01/2016,10/01/2016
5,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,208008.0,SEATTLE WA,04/15/2016,06/29/2016
6,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,208008.0,SEATTLE WA,04/19/2016,06/29/2016
7,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSOCIATE,66340.0,SEATTLE WA,01/20/2016,03/01/2016
8,FRED HUTCHINSON CANCER RESEARCH CENTER,BIOSTATISTICAL PROGRAMMER,74100.0,SEATTLE WA,03/03/2016,04/01/2016
9,FRED HUTCHINSON CANCER RESEARCH CENTER,BUSINESS ANALYST,100000.0,SEATTLE WA,06/21/2016,07/11/2016
10,"

",,,,,
11,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL DATA MANAGER,62040.0,SEATTLE WA,11/15/2016,01/02/2017
12,FRED HUTCHINSON CANCER RESEARCH CENTER,DATABASE MANAGER,114021.0,SEATTLE WA,07/11/2016,12/07/2016
13,FRED HUTCHINSON CANCER RESEARCH CENTER,DATABASE MANAGER,114021.0,SEATTLE WA,07/26/2016,12/07/2016
14,FRED HUTCHINSON CANCER RESEARCH CENTER,DATABSE ADMININSTRATORS,114021.0,SEATTLE WA,06/22/2016,12/07/2016
15,FRED HUTCHINSON CANCER RESEARCH CENTER,GRANT & CONTRACT SPECIALIST,52333.0,SEATTLE WA,03/09/2016,06/22/2016
16,FRED HUTCHINSON CANCER RESEARCH CENTER,IMMUNE MONITORING SPECIALIST,47487.0,SEATTLE WA,11/10/2016,12/21/2016
17,FRED HUTCHINSON CANCER RESEARCH CENTER,IT BUSINESS ANALYST,80000.0,SEATTLE WA,03/02/2016,04/04/2016
18,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,01/04/2016,02/11/2016
19,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,03/10/2016,08/10/2016
20,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,04/22/2016,09/01/2016
21,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,44556.0,SEATTLE WA,01/07/2016,02/15/2016
22,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,44556.0,SEATTLE WA,08/16/2016,02/11/2017
23,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,45444.0,SEATTLE WA,07/25/2016,08/22/2016
24,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,45444.0,SEATTLE WA,09/16/2016,03/16/2017
25,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,47268.0,SEATTLE WA,10/18/2016,01/01/2017
26,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,11/14/2016,01/01/2017
27,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,08/10/2016,12/01/2016
28,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,48000.0,SEATTLE WA,03/22/2016,06/01/2016
29,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,51120.0,SEATTLE WA,06/15/2016,07/01/2016
30,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,54000.0,SEATTLE WA,08/17/2016,11/01/2016
31,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,55000.0,SEATTLE WA,09/30/2016,12/07/2016
32,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,42000.0,SEATTLE WA,02/01/2016,04/01/2016
33,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,42000.0,SEATTLE WA,02/02/2016,04/01/2016
34,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,42000.0,SEATTLE WA,02/02/2016,04/01/2016
35,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,04/26/2016,10/01/2016
36,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,46500.0,SEATTLE WA,02/25/2016,05/01/2016
37,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,12/20/2016,05/01/2017
38,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,48000.0,SEATTLE WA,02/10/2016,05/25/2016
39,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,48192.0,SEATTLE WA,10/04/2016,04/01/2017
40,"




",,,,,
41,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,48205.0,SEATTLE WA,09/16/2016,12/01/2016
42,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50602.0,SEATTLE WA,06/29/2016,08/30/2016
43,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,51000.0,SEATTLE WA,12/20/2016,03/01/2017
44,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,51000.0,SEATTLE WA,04/15/2016,08/19/2016
45,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,52000.0,SEATTLE WA,04/20/2016,08/31/2016
46,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,53160.0,SEATTLE WA,06/15/2016,07/01/2016
47,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,53160.0,SEATTLE WA,06/15/2016,07/01/2016
48,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,54000.0,SEATTLE WA,09/01/2016,12/01/2016
49,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,59333.0,SEATTLE WA,10/19/2016,04/01/2017
50,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH ASSOCIATE,56381.0,SEATTLE WA,12/01/2016,02/01/2017
51,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,57500.0,SEATTLE WA,10/25/2016,11/04/2016
52,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,40000.0,SEATTLE WA,01/26/2016,04/20/2016
53,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,40224.0,SEATTLE WA,03/16/2016,07/05/2016
54,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,50000.0,SEATTLE WA,02/16/2016,03/07/2016
55,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,50004.0,SEATTLE WA,02/09/2016,03/01/2016
56,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,68175.0,SEATTLE WA,04/20/2016,07/01/2016
57,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,68175.0,SEATTLE WA,04/25/2016,07/01/2016
58,FRED HUTCHINSON CANCER RESEARCH CENTER,SR. BUSINESS ANALYST,100000.0,SEATTLE WA,06/21/2016,07/11/2016
59,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENSTIS,85000.0,SEATTLE WA,05/28/2016,08/24/2016
60,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,77250.0,SEATTLE WA,03/04/2016,04/01/2016
61,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,82500.0,SEATTLE WA,09/28/2016,10/28/2016
62,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,85000.0,SEATTLE WA,04/20/2016,08/31/2016
63,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,85000.0,SEATTLE WA,06/14/2016,08/24/2016
64,FRED HUTCHINSON CANCER RESEARCH CENTER,STAFF SCIENTIST,86542.0,SEATTLE WA,03/14/2016,07/01/2016
65,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL PROGRAMMER,75000.0,SEATTLE WA,12/23/2016,06/12/2017
66,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL PROGRAMMER,75000.0,SEATTLE WA,03/14/2016,07/01/2016
67,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL PROGRAMMER ANALYST,68004.0,SEATTLE WA,01/29/2016,03/01/2016
68,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,67980.0,SEATTLE WA,09/09/2016,10/01/2016
69,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,66000.0,SEATTLE WA,04/05/2016,09/10/2016
70,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,68000.0,SEATTLE WA,02/01/2016,06/01/2016
71,FRED HUTCHINSON CANCER RESEARCH CENTER,SYSTEMS ANALYST PROGRAMMER,62000.0,AUSTIN TX,08/15/2016,08/25/2016
72,FRED HUTCHINSON CANCER RESEARCH CENTER,SYSTEMS ANALYST PROGRAMMER,65000.0,SEATTLE WA,08/25/2016,01/09/2017
73,FRED HUTCHINSON CANCER RESEARCH CENTER,SYSTEMS ANALYST PROGRAMMER,82000.0,SEATTLE WA,12/07/2016,01/23/2017
74,FRED HUTCHINSON CANCER RESEARCH CENTER,SYSTEMS ANALYST PROGRAMMER,110040.0,SEATTLE WA,05/09/2016,06/02/2016
0,FRED HUTCHINSON CANCER RESEARCH CENTER,ANIMAL RESEARCH TECHNOLOGIST,55000.0,SEATTLE WA,07/28/2017,11/01/2017
1,FRED HUTCHINSON CANCER RESEARCH CENTER,APPLICATION SUPPORT ENGINEER,62500.0,SEATTLE WA,07/31/2017,08/10/2017
2,FRED HUTCHINSON CANCER RESEARCH CENTER,APPLICATION SUPPORT ENGINEER,62500.0,SEATTLE WA,07/31/2017,07/31/2017
3,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,118500.0,SEATTLE WA,04/10/2017,08/01/2017
4,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSOCIATE MEMBER,137928.0,SEATTLE WA,06/20/2017,10/01/2017
5,FRED HUTCHINSON CANCER RESEARCH CENTER,CELL PRODUCTION ASSOCIATE III,72000.0,SEATTLE WA,07/19/2017,08/12/2017
6,FRED HUTCHINSON CANCER RESEARCH CENTER,CELLULAR PRODUCTION ASSOCIATE,64901.0,SEATTLE WA,03/07/2017,07/15/2017
7,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL AFFAIRS SAFETY ASSOCIATE,75701.0,SEATTLE WA,09/25/2017,03/22/2018
8,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL DATA PROGRAMMER,85000.0,SEATTLE WA,02/27/2017,03/27/2017
9,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL PROGRAMMER SCHARP,89610.0,SEATTLE WA,12/28/2017,12/28/2017
10,"

",,,,,
11,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL TRIALS PROTOCOL TEAM LEADER,161522.0,SEATTLE WA,01/26/2017,04/01/2017
12,FRED HUTCHINSON CANCER RESEARCH CENTER,DATABASE ADMINISTRATOR,110000.0,SEATTLE WA,03/02/2017,03/17/2017
13,FRED HUTCHINSON CANCER RESEARCH CENTER,EDC PROGRAMMER,110000.0,SEATTLE WA,02/24/2017,03/13/2017
14,FRED HUTCHINSON CANCER RESEARCH CENTER,EDC PROGRAMMER,110000.0,SEATTLE WA,03/01/2017,03/20/2017
15,FRED HUTCHINSON CANCER RESEARCH CENTER,FINANCIAL ANALYST,61560.0,SEATTLE WA,01/27/2017,06/27/2017
16,FRED HUTCHINSON CANCER RESEARCH CENTER,LAB DATA COORDINATOR,57750.0,SEATTLE WA,06/07/2017,07/17/2017
17,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,45640.0,SEATTLE WA,09/27/2017,10/16/2017
18,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,02/16/2017,03/16/2017
19,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,50316.0,SEATTLE WA,03/22/2017,06/01/2017
20,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,51120.0,SEATTLE WA,03/24/2017,07/01/2017
21,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,53000.0,SEATTLE WA,08/14/2017,10/15/2017
22,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,55000.0,SEATTLE WA,03/10/2017,04/15/2017
23,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,57504.0,SEATTLE WA,01/17/2017,07/01/2017
24,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,65000.0,SEATTLE WA,07/07/2017,09/01/2017
25,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,01/03/2017,05/01/2017
26,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,04/20/2017,10/01/2017
27,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,04/21/2017,09/01/2017
28,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,02/09/2017,05/01/2017
29,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,05/26/2017,11/01/2017
30,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47484.0,SEATTLE WA,06/06/2017,08/01/2017
31,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,52915.0,SEATTLE WA,08/23/2017,11/01/2017
32,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,52915.0,SEATTLE WA,08/18/2017,11/01/2017
33,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,54228.0,SEATTLE WA,08/22/2017,10/01/2017
34,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,54228.0,SEATTLE WA,08/31/2017,10/16/2017
35,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,54228.0,SEATTLE WA,09/08/2017,10/16/2017
36,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,54996.0,SEATTLE WA,07/07/2017,01/01/2018
37,FRED HUTCHINSON CANCER RESEARCH CENTER,PROCESSING DEVELOPMENT ASSOCIATE II,70000.0,SEATTLE WA,05/17/2017,07/01/2017
