,0,1,2,3,4,5
0,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL AFFAIRS SAFETY ASSOCIATE,65000.0,SEATTLE WA,12/14/2014,03/22/2015
1,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,42000.0,SEATTLE WA,09/26/2014,11/03/2014
2,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,47000.0,SEATTLE WA,11/19/2014,02/01/2015
3,FRED HUTCHINSON CANCER RESEARCH CENTER,PUBLICATIONS PROJECT MANAGER,54000.0,SEATTLE WA,10/21/2014,12/01/2014
4,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,36080.0,SEATTLE WA WA,10/07/2014,01/01/2015
5,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL PROGRAMMER,55975.0,SEATTLE WA,10/24/2014,03/01/2015
6,FRED HUTCHINSON CANCER RESEARCH CENTER,STATISTICAL RESEARCH ASSOCIATE,72000.0,SEATTLE WA,10/28/2014,01/01/2015
0,FRED HUTCHINSON CANCER RESEARCH CENTER,ANALYTICAL DEVELOPMENT QUALITY CONTROL ASSOCIATE,57000.0,SEATTLE WA,07/17/2015,07/17/2015
1,FRED HUTCHINSON CANCER RESEARCH CENTER,APPLICATION ARCHITECH - ENTERPRISE APPLICATIONS,115270.0,SEATTLE WA,03/30/2015,07/23/2015
2,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,105372.0,SEATTLE WA,05/01/2015,07/01/2015
3,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,105372.0,SEATTLE WA,05/15/2015,07/16/2015
4,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,125000.0,SEATTLE WA,07/01/2015,09/01/2015
5,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,140000.0,SEATTLE WA,11/05/2015,01/01/2016
6,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,140000.0,SEATTLE WA,12/15/2015,02/01/2016
7,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,191004.0,SEATTLE WA,07/24/2015,11/01/2015
8,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSISTANT MEMBER,191004.0,SEATTLE WA,07/31/2015,12/01/2015
9,FRED HUTCHINSON CANCER RESEARCH CENTER,ASSOCIATE,61227.0,SEATTLE WA,02/10/2015,06/18/2015
10,"

",,,,,
11,FRED HUTCHINSON CANCER RESEARCH CENTER,CLINICAL TRIALS PROJECT MANAGER,114954.0,SEATTLE WA,09/18/2015,11/30/2015
12,FRED HUTCHINSON CANCER RESEARCH CENTER,IMMUNE MONITORING SPECIALIST,44316.0,SEATTLE WA,10/20/2015,03/01/2016
13,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42000.0,SEATTLE WA,02/17/2015,06/23/2015
14,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,07/28/2015,10/01/2015
15,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,09/02/2015,01/04/2016
16,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,42840.0,SEATTLE WA,09/08/2015,12/07/2015
17,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,45432.0,SEATTLE WA,02/11/2015,08/01/2015
18,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,47000.0,SEATTLE WA,10/02/2015,04/01/2016
19,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,48000.0,SEATTLE WA,05/19/2015,10/16/2015
20,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,48000.0,SEATTLE WA,06/02/2015,09/16/2015
21,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,48000.0,SEATTLE WA,07/22/2015,09/01/2015
22,FRED HUTCHINSON CANCER RESEARCH CENTER,POST-DOCTORAL RESEARCH FELLOW,52000.0,SEATTLE WA,07/01/2015,10/01/2015
23,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLIOW,44556.0,SEATTLE WA,09/25/2015,12/15/2015
24,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLIOW,44556.0,SEATTLE WA,09/25/2015,02/01/2016
25,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,44556.0,SEATTLE WA,11/03/2015,02/10/2016
26,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,45000.0,SEATTLE WA,07/09/2015,11/01/2015
27,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,48192.0,SEATTLE WA,09/14/2015,02/01/2016
28,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50000.0,SEATTLE WA,02/05/2015,04/11/2015
29,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50000.0,SEATTLE WA,07/08/2015,10/12/2015
30,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50000.0,SEATTLE WA,07/08/2015,10/12/2015
31,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50004.0,SEATTLE WA,10/21/2015,02/01/2016
32,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50004.0,SEATTLE WA,10/21/2015,01/01/2016
33,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50004.0,SEATTLE WA,10/21/2015,01/01/2016
34,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50004.0,SEATTLE WA,12/18/2015,05/29/2016
35,FRED HUTCHINSON CANCER RESEARCH CENTER,POSTDOCTORAL RESEARCH FELLOW,50004.0,SEATTLE WA,12/21/2015,05/29/2016
36,FRED HUTCHINSON CANCER RESEARCH CENTER,PROJECT COORDINATOR,52880.0,SEATTLE WA,08/07/2015,08/07/2015
37,FRED HUTCHINSON CANCER RESEARCH CENTER,PROJECT MANAGER FACILITIES PLANNING & CONSTRUCTION,85749.0,SEATTLE WA,03/30/2015,09/03/2015
38,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH ASSOCIATE,57546.0,SEATTLE WA,12/31/2015,04/22/2016
39,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH DONOR PROJECT MANAGER,63000.0,SEATTLE WA,08/27/2015,09/12/2015
40,"




",,,,,
41,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,36820.0,SEATTLE WA,04/07/2015,05/01/2015
42,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,37980.0,SEATTLE WA,12/15/2015,01/15/2016
43,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,37980.0,SEATTLE WA,12/29/2015,03/01/2016
44,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,38274.0,SEATTLE WA,02/17/2015,03/01/2015
45,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,41000.0,SEATTLE WA,10/19/2015,03/01/2016
46,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,42198.0,SEATTLE WA,05/15/2015,07/09/2015
47,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,42828.0,SEATTLE WA,01/28/2015,05/01/2015
48,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,45000.0,SEATTLE WA,06/19/2015,07/22/2015
49,FRED HUTCHINSON CANCER RESEARCH CENTER,RESEARCH TECHNICIAN,59803.0,SEATTLE WA,07/22/2015,11/30/2015
