index,company,total_filings,avg_salary
120,JPMORGAN CHASE & CO,2328.0,$115777
121,IRIS SOFTWARE INC,2327.0,$109568
122,TWITTER INC,2321.0,$154767
123,BARCLAYS SERVICES CORP,2287.0,$124842
124,PHOTON INFOTECH INC,2253.0,$85514
125,COLUMBIA UNIVERSITY,2253.0,$82033
126,INTONE NETWORKS INC,2232.0,$85821
127,AMERICAN AIRLINES INC,2229.0,$79306
128,BRILLIO LLC,2202.0,$87677
129,FORD MOTOR COMPANY,2192.0,$88555
130,EMORY UNIVERSITY,2181.0,$81409
131,DIASPARK INC,2158.0,$71433
132,NATIONAL INSTITUTES OF HEALTH HHS,2154.0,$82286
133,SCHLUMBERGER TECHNOLOGY CORPORATION,2152.0,$91621
134,APPLIED MATERIALS INC,2132.0,$114288
135,ASTIR IT SOLUTIONS INC,2132.0,$78370
136,OATH HOLDINGS INC,2115.0,$138820
137,HARVARD UNIVERSITY,2092.0,$74501
138,GLOBALLOGICINC,2083.0,$102073
139,PYRAMID TECHNOLOGY SOLUTIONS INC,2082.0,$71778
140,TECHNOSOFT CORPORATION,2064.0,$84546
141,HEWLETT PACKARD ENTERPRISE COMPANY,2061.0,$128510
142,HITACHI CONSULTING CORPORATION,2050.0,$87164
143,FEDEX CORPORATE SERVICES INC,2035.0,$73259
144,GLOBALFOUNDRIES US INC,2029.0,$86831
145,VERIZON DATA SERVICES LLC,2024.0,$114306
146,MEDTRONIC INC,2010.0,$93408
147,SRS CONSULTING INC,1996.0,$98198
148,CSC COVANSYS CORPORATION,1989.0,$73666
149,SYMANTEC CORPORATION,1968.0,$124995
150,DISCOVER PRODUCTS INC,1965.0,$80575
151,STATE STREET BANK AND TRUST COMPANY,1962.0,$106579
152,CYBERTHINK INC,1958.0,$81402
153,THE BOARD OF TRUSTEES OF THE LELAND STANFORD JR UNIVERSITY,1957.0,$83554
154,FIS MANAGEMENT SERVICES LLC,1952.0,$106461
155,NIIT TECHNOLOGIES LIMITED,1947.0,$76366
156,SERVICENOW INC,1938.0,$118054
157,AKAMAI TECHNOLOGIES INC,1936.0,$115439
158,WAYFAIR LLC,1926.0,$107028
159,ZS ASSOCIATES INC,1926.0,$113794
160,MCKINSEY & COMPANY INC UNITED STATES,1918.0,$140722
161,RANDSTAD TECHNOLOGIES LP,1915.0,$105805
162,NETAPP INC,1894.0,$118474
163,DELL MARKETING LP,1890.0,$99012
164,VISA USA INC,1890.0,$115357
165,YALE UNIVERSITY,1887.0,$85365
166,KPIT INFOSYSTEMS INC,1885.0,$71768
167,CAPGEMINI FINANCIAL SERVICES USA INC,1867.0,$82282
168,DELL USA LP,1843.0,$114552
169,CHARTER COMMUNICATIONS INC,1833.0,$96442
170,DELL PRODUCTS LP,1807.0,$110338
171,MERRILL LYNCH,1806.0,$130129
172,JOHNS HOPKINS UNIVERSITY,1803.0,$76790
173,IDEXCEL INC,1801.0,$95761
174,INFINITE COMPUTER SOLUTIONS INC,1784.0,$90490
175,ADOBE INC,1776.0,$137377
176,VEDICSOFT SOLUTIONS LLC,1771.0,$71335
177,US BANK NATIONAL ASSOCIATION,1771.0,$106786
178,PALO ALTO NETWORKS INC,1768.0,$143328
179,EXLSERVICECOM LLC,1755.0,$93447
180,SYNAPSIS INC,1754.0,$78415
181,AIRBNB INC,1752.0,$173174
182,VENTOIS INC,1748.0,$85824
183,UNIVERSITY OF CALIFORNIA SAN FRANCISCO,1736.0,$83171
184,NISUM TECHNOLOGIES INC,1724.0,$119214
185,ECLINICALWORKS LLC,1721.0,$81931
186,INTRAEDGE INC,1721.0,$80596
187,UNIVERSITY OF COLORADO,1717.0,$75398
188,ITC INFOTECH (USA) INC,1714.0,$81784
189,AUTODESK INC,1707.0,$117594
190,CAREMARK LLC,1695.0,$98554
191,UNIVERSITY OF PITTSBURGH,1690.0,$60768
192,DFS CORPORATE SERVICES LLC,1689.0,$99986
193,ADP TECHNOLOGY SERVICES INC,1682.0,$102774
194,WESTERN DIGITAL TECHNOLOGIES INC,1682.0,$122863
195,THE UNIVERSITY OF CHICAGO,1680.0,$70592
196,NAGARRO INC,1672.0,$83758
197,COMPUTER SCIENCES CORPORATION,1672.0,$74063
198,VISA TECHNOLOGY & OPERATIONS LLC,1667.0,$111747
199,ORION SYSTEMS INTEGRATORS LLC,1666.0,$95020
200,DALLAS INDEPENDENT SCHOOL DISTRICT,1665.0,$55429
201,SLALOM LLC,1661.0,$117741
202,BAYLOR COLLEGE OF MEDICINE,1657.0,$77479
203,TAVANT TECHNOLOGIES INC,1648.0,$98175
204,YAHOO! INC,1647.0,$113488
205,MASTERCARD INTERNATIONAL INCORPORATED,1645.0,$104782
206,PERFICIENT INC,1642.0,$105850
207,TARGET ENTERPRISE INC,1641.0,$108627
208,NORTHWESTERN UNIVERSITY,1636.0,$67958
209,AT&T SERVICES INC,1635.0,$126336
210,WELLS FARGO BANK NA,1631.0,$122142
211,GENERAL HOSPITAL CORPORATION,1630.0,$63186
212,PIONEER CONSULTING SERVICES LLC,1623.0,$85021
213,NIKE INC,1609.0,$126554
214,SAP LABS LLC,1606.0,$121756
215,DELOITTE & TOUCHE LLP,1602.0,$73465
216,MORGAN STANLEY & CO LLC,1596.0,$141898
217,ALTIMETRIK CORP,1588.0,$90299
218,UNIVERSITY OF FLORIDA,1587.0,$109485
219,TEXAS INSTRUMENTS INCORPORATED,1584.0,$113505
220,IPOLARITY LLC,1576.0,$73038
221,GSS INFOTECH CT INC,1570.0,$74325
222,ITECH US INC,1568.0,$96795
223,UNIVERSITY OF CALIFORNIA SAN DIEGO,1556.0,$73715
224,LOGIC PLANET INC,1553.0,$81069
225,CAPGEMINI US LLC,1551.0,$95630
226,CADENCE DESIGN SYSTEMS INC,1547.0,$122802
227,NETFLIX INC,1535.0,$221352
228,MARVELL SEMICONDUCTOR INC,1534.0,$114091
229,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,1530.0,$88998
230,LEAD IT CORPORATION,1530.0,$74852
